tate,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROGRAM,;,.,BEGIN,END,VAR,:,TYPE,=,PROCEDURE,(,),CONST,:=,INT,LIT,+,-,ARRAY,[,..,],OF,RECORD,ID,",",WHILE,DO,READ,WRITE,WRITELN,IF,THEN,ELSE,NOT,AND,OR,>,<,<=,>=,<>,*,/,$,prog,bloco,decls,decl,vardecl,typedecl,procdecl,constdecl,valor,valorss,sinal,type,campos,campo,params,param,iden,idens,coms,stmt,mstmt,unst,exprs,expr,opbool,expr1,opcomp,expr2,opad,expr3,opmult,expr4,var
31,,,,r2,,r2,,r2,,r2,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,s60,,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,r29,,,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,65,20,21,,,,,,,,,,,23
39,,s38,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,67,,45,,46,,48,,51,52
41,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,68,,45,,46,,48,,51,52
42,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
44,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,,,74,,46,,48,,51,52
45,,r48,,,r48,,,,,,,r48,,,,,,,,,,r48,,,,r48,,r48,,,,,r48,r48,,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,r52,,,r52,,,,s79,,,r52,,,,,s83,s84,,,,r52,,,,r52,,r52,,,,,r52,r52,,r52,r52,s77,s78,s80,s81,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,76,,,,
47,,,,,,,,,,,s30,,,,s54,s55,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,29,,,,,,,,,,,,,85,,51,52
48,,r61,,,r61,,,,r61,,,r61,,,,,r61,r61,,,,r61,,,,r61,,r61,,,,,r61,r61,,r61,r61,r61,r61,r61,r61,r61,s87,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,
49,,,,,,,,,,,r16,,,,r16,r16,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,r17,,,,r17,r17,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,r65,,,r65,,,,r65,,,r65,,,,,r65,r65,,,,r65,,,,r65,,r65,,,,,r65,r65,,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,r68,s42,,r68,,,,r68,,s89,r68,,,,,r68,r68,,s41,,r68,,,,r68,,r68,,,,,r68,r68,,r68,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,r70,,,r70,,,,r70,,,r70,,,,,r70,r70,,,,r70,,,,r70,,r70,,,,,r70,r70,,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,r14,,,r14,,,,r14,,,r14,,,,,r14,r14,,,r14,r14,,,,r14,,r14,,,,,r14,r14,,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,r15,,,r15,,,,r15,,,r15,,,,,r15,r15,,,r15,r15,,,,r15,,r15,,,,,r15,r15,,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,r37,s42,,r37,,,,,,,,,,,,,,,s41,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,r38,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r38,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s90,,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
59,,,,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,s94,,,,,s95,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,93,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,s94,,,,,s95,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,93,,,,,,,,,,,,,,,,
63,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,99,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,s54,s55,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,102,103,,,,,,,,,,,,,,,,,,,,,,
65,,r30,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r34,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r35,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,s104,,,,,,,,,,,,,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
69,,r74,r74,,r74,,,,r74,,r74,r74,,r74,,,r74,r74,,r74,,r74,,,,r74,,r74,,,,,r74,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s106,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,105,,,,,,,,,,,,23
71,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,,,107,,46,,48,,51,52
72,,,,,,,,,,,r49,,,,r49,r49,r49,r49,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,r50,,,,r50,r50,r50,r50,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r47,,,r47,,,,,,,r47,,,,,,,,,,r47,,,,r47,,r47,,,,,r47,r47,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,,,,,108,,48,,51,52
76,,,,,,,,,,,s30,,,,s54,s55,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,29,,,,,,,,,,,,,109,,51,52
77,,,,,,,,,,,r53,,,,r53,r53,r53,r53,,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,r54,,,,r54,r54,r54,r54,,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,r55,,,,r55,r55,r55,r55,,,,,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
